ID,Gloss,Class,Portuguese_ort,Portuguese,Kriyol_ort,Kriyol_Mandinka,Kriyol_Balanta,Kriyol_Fula,Kriyol_Mandjaku,Mandinka,Balanta,Fula,Mandjaku
1,big,adjective,grande,ˈgɾɐ̃dɨ,garandi,ˈgɾãdi,gɐˈɾãdi,gaˈɾãdi,gaˈɾandi,waɾ(a)maː,ˈdɐ̃,ˈⁿd͡ʒanu,u'ɛk
2,long,adjective,comprido,kõˈpɾiðu,kumpridu,kũˈpɾiɾu,kũˈpɾidu,kumˈpɾiɖu,kum'pɾidu,ɟ͡ʝeɲamaː / ɟ͡ʝamaː,ˈkut,ˈd͡ʒuːti,u'jampal
3,wide,adjective,largo,ˈlaɾgu,largu,ˈlaɾgu,ˈlaɾgu,ˈlaɾgu,laɾgu,fanumaː,,jaˈd͡ʒi,u'wanal
4,thick,adjective,grosso,ˈgɾosu,gros,ˈgɾɔs,ˈgɾɔs,,gɾɔs,fanumaː,,,umak'ʤul
5,heavy,adjective,pesado,pɨˈzaðu,pisadu,,piˈzadu,piˈsa:ɖu,pi'sadu,warumaː / kalumaaː,ˈlep,ˈteɗi,uɾi'ʧal
6,small,adjective,pequeno,pɨˈkenu,pikininu,pikiˈninu,pikiˈninu,pikiˈninu,pk'ninu,nuandjumaː,ˈsõɨ,tosɔkɔ/ fãˈɗi,u'tĩk
7,short,adjective,curto,ˈkuɾtu,kurtu,ˈkuɾtu,ˈkuɾtu,ˈkuɾtu,kuɾtu,nuandjumaː,ðeˈkɨ̃,raʡɓiɗi,u'ɾungutul
8,narrow,adjective,estreito,ɨʃˈtɾɐjtu,stritu,pikiˈninu,,ɨʃˈtɾɛjtu/apɛɾˈtaɖu,dɛl'gadu,,,ˈsewi/ˈfaɗi,u'ɲikʧul
9,thin,adjective,fino/magro,ˈfinu / ˈmagɾu,dalgadu,,,dɛɫˈgaɖu,magɾu,nuandjumaː,ˈtõ,ˈsewi,u'bɔnal
10,warm,adjective,quente,ˈkẽtɨ,kinti,ˈkẽtɨ,ˈkĩtɨ,ˈkĩdi,kĩti,kandiɾiŋ,ˈɲue/ˈɲu,ˈwoli,u'jakal
